@RELATION KNNTrainingData_kCTPA

@ATTRIBUTE CPUUsage	numeric
@ATTRIBUTE RAMUsage numeric
@ATTRIBUTE PowerConsume numeric
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1,1,1320.76,1
1,1,228.01,1
1,1,530.33,1
1,1,591.18,1
1,1,19.33,1
1,1,15.64,1
1,1,17.79,1
1,1,9.86,1
1,1,15.41,1
1,1,11.77,1
1,1,554.87,1
1,1,10.88,1
1,1,7.98,1
1,1,8.48,1
1,1,8.86,1
1,1,2.69,1
1,1,15.07,1
1,1,5.4,1
1,1,0.67,1
1,1,10.2,1
1,1,32.75,1
1,1,3.75,1
1,1,1.21,1
1,1,6.64,1
1,1,3.46,1
1,1,10.54,1
1,1,33.48,1
1,1,2.09,1
1,1,31.25,1
1,1,1.17,1
1,1,9.23,1
1,1,32.28,1
1,1,12.32,1
1,1,0.77,1
1,1,17.22,1
1,1,2.2,1
1,1,1.82,1
1,1,17.91,1
1,1,9.46,1
1,1,21.34,1
1,1,9.66,1
1,1,21,1
1,1,10.94,1
1,1,427.4,1
1,1,16.84,1
1,1,13.46,1
1,1,12.65,1
1,1,3.22,1
1,1,12.27,1
1,1,7.13,1
1,1,25.6,1
1,1,6.96,1
1,1,10.2,1
1,1,23.74,1
1,1,6.13,1
1,1,11.05,1
1,1,17.17,1
1,1,4.85,1
1,1,40.53,1
1,1,23.08,1
1,1,3.09,1
1,1,3.03,1
1,1,21.55,1
1,1,2.83,1
1,1,13.93,1
1,1,16.44,1
1,1,3.22,1
1,1,33.66,1
1,1,4.58,1
1,1,17.2,1
1,1,33.37,1
1,1,2.74,1
1,1,4.93,1
1,1,22.44,1
1,1,4.98,1
1,1,4.8,1
1,1,23.88,1
1,1,4.63,1
1,1,11.47,1
1,1,4.6,1
1,1,10.81,1
1,1,7.03,1
1,1,5.1,1
1,1,10.22,1
1,1,2.24,1
1,1,6.32,1
1,1,6.01,1
1,1,4.34,1
1,1,6.51,1
1,1,0.62,1
1,1,2.98,1
1,1,1052.23,1
1,1,12.29,1
1,1,8.85,1
1,1,1.18,1
1,1,8.89,1
1,1,86.35,1
1,1,1.75,1
1,1,18.67,1
1,1,9.73,1
1,1,13.59,1
1,1,23.87,1
1,1,16.29,1
1,1,12.04,1
1,1,1.22,1
1,1,8.1,1
1,1,17.5,1
1,1,3.25,1
1,1,5.36,1
1,1,3.7,1
1,1,1.99,1
1,1,2.6,1
1,1,2.47,1
1,1,2.02,1
1,1,2.72,1
1,1,1.84,1
1,1,33.67,1
1,1,11.84,1
1,1,13.56,1
1,1,15.37,1
1,1,16.66,1
1,1,47.19,1
1,1,10.4,1
1,1,31.75,1
1,1,12.73,1
1,1,15.26,1
1,1,17.09,1
1,1,8.59,1
1,1,20.59,1
1,1,28,1
1,1,9.46,1
1,1,13.21,1
1,1,24.33,1
1,1,1.28,1
1,1,22.07,1
1,1,33.24,1
1,1,2.89,1
1,1,11.97,1
1,1,12.12,1
1,1,2.56,1
1,1,32.75,1
1,1,1.71,1
1,1,34.07,1
1,1,19.95,1
1,1,3.57,1
1,1,56.53,1
1,1,7.95,1
1,1,11.84,1
1,1,2.07,1
1,1,23.94,1
1,1,2.38,1
1,1,3.35,1
1,1,0.91,1
1,1,2.6,1
1,1,0.73,1
1,1,2.76,1
1,1,2.02,1
1,1,0.62,1
1,1,3.31,1
1,1,24.61,1
1,1,2.84,1
1,1,1.17,1
1,1,0.62,1
1,1,0.83,1
1,1,2.27,1
1,1,2.61,1
1,1,0.74,1
1,1,4.22,1
1,1,0.87,1
1,1,2.95,1
1,1,8.38,1
1,1,5.44,1
1,1,0.67,1
1,1,3.39,1
1,1,0.85,1
1,1,76.07,1
1,1,0.62,1
1,1,2.55,1
1,1,1.85,1
1,1,2.29,1
1,1,2.76,1
1,1,6.17,1
1,1,3.4,1
1,1,60.45,1
1,1,12.95,1
1,1,10.27,1
1,1,19.11,1
1,1,19.69,1
1,1,16.9,1
1,1,11,1
1,1,9.79,1
1,1,12.07,1
1,1,7.02,1
1,1,34.63,1
1,1,5.85,1
1,1,25.26,1
1,1,11.62,1
1,1,5.99,1
1,1,7.74,1
1,1,10.67,1
1,1,5.33,1
1,1,15.44,1
1,1,0.67,1
1,1,24.25,1
1,1,19.56,1
1,1,4.58,1
1,1,23.47,1
1,1,50.07,1
1,1,19.12,1
1,1,1.92,1
1,1,25.09,1
1,1,7.33,1
1,1,18.06,1
1,1,19.96,1
1,1,2.15,1
1,1,14.25,1
1,1,0.72,1
1,1,3.81,1
1,1,23.32,1
1,1,4.3,1
1,1,1.01,1
1,1,6.03,1
1,1,2.68,1
1,1,1.73,1
1,1,2.68,1
1,1,12.93,1
1,1,3.57,1
1,1,1.9,1
1,1,1.77,1
1,1,42.59,1
1,1,1.15,1
1,1,33.63,1
1,1,5,1
1,1,0.63,1
1,1,0.73,1
1,1,11.73,1
1,1,6.13,1
1,1,2.19,1
1,1,3.08,1
1,1,5.87,1
1,1,1.91,1
1,1,0.69,1
1,1,9.05,1
1,1,5.37,1
1,1,1.35,1
1,1,1.68,1
1,1,8.01,1
1,1,1.8,1
1,1,5.3,1
1,1,1.86,1
1,1,1.04,1
1,1,1.66,1
1,1,1.69,1
1,1,16.9,1
1,1,7.13,1
1,1,2.28,1
1,1,13.45,1
1,1,1.72,1
1,1,1.81,1
1,1,2.82,1
1,1,3.52,1
1,1,2.14,1
1,1,0.62,1
1,1,1.65,1
1,1,1.32,1
1,1,4.26,1
1,1,5.89,1
1,1,11.02,1
1,1,18.27,1
1,1,15.79,1
1,1,25.28,1
1,1,12.03,1
1,1,8.76,1
1,1,28.57,1
1,1,7.31,1
1,1,3.18,1
1,1,16.46,1
1,1,19.03,1
1,1,9.1,1
1,1,30.62,1
1,1,33.74,1
1,1,7.84,1
1,1,17.71,1
1,1,9.72,1
1,1,13.45,1
1,1,1.93,1
1,1,13.07,1
1,1,4.9,1
1,1,2.53,1
1,1,24.54,1
1,1,35.8,1
1,1,10.56,1
1,1,19.79,1
1,1,3.29,1
1,1,32.32,1
1,1,18.37,1
1,1,17.07,1
1,1,0.63,1
1,1,12.87,1
1,1,3.79,1
1,1,2.07,1
1,1,0.82,1
1,1,0.84,1
1,1,22.29,1
1,1,0.68,1
1,1,8.29,1
1,1,1.65,1
1,1,6.68,1
1,1,1.86,1
1,1,50.47,1
1,1,4.56,1
1,1,6.56,1
1,1,0.83,1
1,1,2.97,1
1,1,2.91,1
1,1,3.29,1
1,1,2.03,1
1,1,0.83,1
1,1,1.52,1
1,1,2.87,1
1,1,4.08,1
1,1,5.02,1
1,1,2.58,1
1,1,2.36,1
1,1,3.13,1
1,1,3.95,1
1,1,5.18,1
1,1,4.11,1
1,1,3.51,1
1,1,4.22,1
1,1,2.78,1
1,1,77.65,1
1,1,3.08,1
1,1,4.72,1
1,1,9.41,1
1,1,4.36,1
1,1,7.07,1
1,1,3.81,1
1,1,3.65,1
1,1,3.37,1
1,1,5.07,1
1,1,1.94,1
1,1,3.17,1
1,1,4.52,1
1,1,13.04,1
1,1,1.02,1
1,1,0.96,1
1,1,5.07,1
1,1,3.88,1
1,1,0.67,1
1,1,8.86,1
1,1,1.77,1
1,1,10.32,1
1,1,2.77,1
1,1,9.63,1
1,1,1.17,1
1,1,3.82,1
1,1,1.78,1
1,1,6.87,1
1,1,17.94,1
1,1,1.79,1
1,1,0.8,1
1,1,12.87,1
1,1,7.15,1
1,1,0.62,1
1,1,5.29,1
1,1,5.03,1
1,1,4.04,1
1,1,9.31,1
1,1,1.91,1
1,1,1.69,1
1,1,1.66,1
1,1,8.35,1
1,1,0.67,1
1,1,6.84,1
1,1,1.76,1
1,1,3.22,1
1,1,5.21,1
1,1,5.48,1
1,1,1.69,1
1,1,5.2,1
1,1,5.88,1
1,1,0.72,1
1,1,0.62,1
1,1,2.65,1
1,1,2.01,1
1,1,8.97,1
1,1,14.36,1
1,1,10.71,1
1,1,3.35,1
1,1,4.09,1
1,1,6.74,1
1,1,9.64,1
1,1,3.3,1
1,1,3.14,1
1,1,4.83,1
1,1,12.68,1
1,1,3.36,1
1,1,2.64,1
1,1,18.21,1
1,1,12.08,1
1,1,2.17,1
1,1,4.13,1
1,1,4.07,1
1,1,3.69,1
1,1,0.96,1
1,1,4.19,1
1,1,7.53,1
1,1,1.91,1
1,1,0.62,1
1,1,3.51,1
1,1,3.51,1
1,1,6.18,1
1,1,1.61,1
1,1,9.83,1
1,1,10.28,1
1,1,7.62,1
1,1,1.29,1
1,1,2.67,1
1,1,4.49,1
1,1,13.34,1
1,1,4.12,1
1,1,2.9,1
1,1,0.62,1
1,1,1.68,1
1,1,11.92,1
1,1,2.73,1
1,1,6.02,1
1,1,2.16,1
1,1,5.45,1
1,1,3.35,1
1,1,2.44,1
1,1,7.26,1
1,1,7.17,1
1,1,11.81,1
1,1,3.88,1
1,1,5.92,1
1,1,4.68,1
1,1,2.21,1
1,1,5.02,1
1,1,1.65,1
1,1,2.15,1
1,1,6.52,1
1,1,14.98,1
1,1,1.4,1
1,1,14.19,1
1,1,5.24,1
1,1,1.37,1
1,1,9.8,1
1,1,0.67,1
1,1,13,1
1,1,3.84,1
1,1,1733.11,1
1,1,1.88,1
1,1,1.41,1
1,1,8.04,1
1,1,5.01,1
1,1,2.95,1
1,1,7.47,1
1,1,3.08,1
1,1,2.22,1
1,1,2.02,1
1,1,2.58,1
1,1,7.61,1
1,1,28.09,1
1,1,14.73,1
1,1,2.03,1
1,1,4.29,1
1,1,16.1,1
1,1,0.67,1
1,1,2.13,1
1,1,1.57,1
1,1,1.65,1
1,1,4.68,1
1,1,3.2,1
1,1,3.84,1
1,1,3.43,1
1,1,3.64,1
1,1,11.09,1
1,1,3.13,1
1,1,3.41,1
1,1,3.23,1
1,1,9.69,1
1,1,37.31,1
1,1,2.67,1
1,1,2.03,1
1,1,5.39,1
1,1,2.65,1
1,1,3.88,1
1,1,2.99,1
1,1,1.74,1
1,1,8.14,1
1,1,3.98,1
1,1,3.37,1
1,1,9.62,1
1,1,1.52,1
1,1,2.87,1
1,1,3.55,1
1,1,2.42,1
1,1,13.33,1
1,1,1.63,1
1,1,3.31,1
1,1,2.68,1
1,1,8.01,1
1,1,0.67,1
1,1,8.3,1
1,1,6.86,1
1,1,9.65,1
1,1,4.63,1
1,1,1.76,1
1,1,1.38,1
1,1,3.52,1
1,1,0.67,1
1,1,1.72,1
1,1,16.73,1
1,1,7.96,1
1,1,7.86,1
1,1,10.83,1
1,1,9.89,1
1,1,11.86,1
1,1,1.53,1
1,1,5.93,1
1,1,2.42,1
1,1,13.58,1
1,1,3.25,1
1,1,3.11,1
1,1,1.44,1
1,1,3.16,1
1,1,14.89,1
1,1,6.33,1
1,1,93576.47,3
1,1,2.67,1
1,1,3.49,1
1,1,138956.86,4
1,1,5.14,1
1,1,3.75,1
1,1,4.99,1
1,1,4.58,1
1,1,10.94,1
1,1,5.61,1
1,1,7.43,1
1,1,4.43,1
1,1,3.43,1
1,1,12.16,1
1,1,2.05,1
1,1,9.1,1
1,1,1.79,1
1,1,5.05,1
1,1,0.69,1
1,1,7.04,1
1,1,7.16,1
1,1,7.23,1
1,1,0.72,1
1,1,0.72,1
1,1,6.77,1
1,1,2.16,1
1,1,0.62,1
1,1,5.56,1
1,1,0.82,1
1,1,10.69,1
1,1,1.95,1
1,1,7.9,1
1,1,0.84,1
1,1,5.89,1
1,1,177911.87,4
1,1,45.03,1
1,1,37.11,1
1,1,91332.36,3
1,1,184810.93,4
1,1,23.48,1
1,1,85600.97,3
1,1,228556.48,4
1,1,86096.03,3
1,1,98682.21,3
1,1,98779.69,3
1,1,228449.56,4
1,1,243110.43,4
1,1,146863.05,4
1,1,137589.44,4
1,1,12.69,1
1,1,100809.11,4
1,1,179643.02,4
1,1,385423.44,4
1,1,171748.09,4
1,1,273449.52,4
1,1,151961.13,4
1,1,100679.21,4
1,1,226233.66,4
1,1,115815.17,4
1,1,83937.67,3
1,1,230745.94,4
1,1,104218.43,4
1,1,357567.57,4
1,1,117951.87,4
1,1,91690.86,3
1,1,10.75,1
1,1,77989.42,3
1,1,228017.6,4
1,1,32.8,1
1,1,117980.82,4
1,1,5.21,1
1,1,4.9,1
1,1,3.6,1
1,1,354242.04,4
1,1,11.32,1
1,1,11.43,1
1,1,141766.02,4
1,1,5.73,1
1,1,2.49,1
1,1,4.43,1
1,1,7.39,1
1,1,3.71,1
1,1,2.25,1
1,1,6.21,1
1,1,6.34,1
1,1,2.43,1
1,1,0.67,1
1,1,4.67,1
1,1,6.88,1
1,1,3.77,1
1,1,2.46,1
1,1,10.44,1
1,1,7.76,1
1,1,13.88,1
1,1,0.97,1
1,1,4.06,1
1,1,4.08,1
1,1,11.34,1
1,1,5.1,1
1,1,3.68,1
1,1,0.67,1
1,1,0.68,1
1,1,8.26,1
1,1,119844.53,4
1,1,4.57,1
1,1,298547.45,4
1,1,17.49,1
1,1,113059.8,4
1,1,183367.75,4
1,1,73931.09,3
