@RELATION RegData_CPU

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE CPUUsage numeric

@DATA
110,2,123,3,2
26276,3,28904,1,8
72691,2,74872,2,10
33007,1,33667,1,8
1096,1,1228,5,8
867,2,962,5,6
997,4,1037,3,8
536,4,600,4,6
829,4,945,1,6
627,2,658,2,6
68107,2,69469,1,10
586,1,627,4,6
890,5,970,1,6
483,1,507,4,6
1080,4,1210,3,8
340,3,354,4,4
1960,5,2019,4,8
610,5,671,2,6
100,5,104,5,2
1160,5,1276,2,8
1860,1,1934,1,8
440,3,453,1,6
180,1,196,1,4
750,4,788,2,6
440,5,493,5,6
1330,1,1516,4,8
1892,4,2157,2,8
102,2,107,2,2
4100,3,4551,1,8
100,5,114,3,2
1120,3,1266,2,8
1747,3,1764,3,8
1520,4,1535,5,8
100,3,114,4,2
939,5,1061,3,8
103,1,116,4,2
110,5,117,5,2
2130,4,2300,5,8
506,2,536,4,6
2670,5,2804,2,8
1169,3,1286,3,8
1150,3,1265,3,8
1301,2,1457,4,8
55477,2,59360,5,8
910,1,983,2,8
1691,5,1928,2,8
1660,5,1843,5,8
420,4,441,5,6
1395,3,1423,2,8
867,2,893,4,6
1476,1,1683,4,8
798,2,918,1,6
1220,5,1318,4,8
3360,5,3461,1,8
790,5,861,2,6
1466,5,1627,2,8
2290,5,2542,4,8
650,1,709,4,6
2210,1,2453,4,8
3063,2,3339,3,8
181,4,203,5,4
392,5,451,2,6
2800,4,2940,5,8
390,1,425,5,6
1790,5,1951,2,8
1900,5,2109,3,8
100,1,104,5,2
1818,2,2018,4,8
271,3,282,2,4
2070,2,2360,3,8
4370,2,4938,1,8
110,1,123,3,2
614,3,663,5,6
3070,2,3224,3,8
607,5,656,2,6
577,4,652,4,6
2854,3,3254,4,8
570,1,633,4,6
1648,3,1780,4,8
593,1,599,1,6
1371,1,1494,5,8
984,4,1132,5,8
626,3,651,5,6
1254,2,1292,2,8
296,4,337,5,4
747,4,754,2,6
740,4,784,1,6
535,5,615,1,6
731,3,804,3,6
100,5,115,5,2
398,2,446,4,6
57311,3,65908,4,8
1471,4,1633,2,8
1162,2,1313,4,8
110,1,118,1,2
502,2,537,2,6
4943,4,5586,4,8
100,3,113,2,2
2347,3,2464,1,8
540,1,572,2,6
727,4,800,4,6
3379,1,3548,3,8
2052,2,2175,4,8
664,4,750,2,6
