@RELATION RegDataPo

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE PowerConsume numeric

@DATA
110,2,123,3,1320.76
26276,3,28904,1,228.01
72691,2,74872,2,530.33
33007,1,33667,1,591.18
1096,1,1228,5,19.33
867,2,962,5,15.64
997,4,1037,3,17.79
536,4,600,4,9.86
829,4,945,1,15.41
627,2,658,2,11.77
68107,2,69469,1,554.87
586,1,627,4,10.88
890,5,970,1,7.98
483,1,507,4,8.48
1080,4,1210,3,8.86
340,3,354,4,2.69
1960,5,2019,4,15.07
610,5,671,2,5.4
100,5,104,5,0.67
1160,5,1276,2,10.2
1860,1,1934,1,32.75
440,3,453,1,3.75
180,1,196,1,1.21
750,4,788,2,6.64
440,5,493,5,3.46
1330,1,1516,4,10.54
1892,4,2157,2,33.48
102,2,107,2,2.09
4100,3,4551,1,31.25
100,5,114,3,1.17
1120,3,1266,2,9.23
1747,3,1764,3,32.28
1520,4,1535,5,12.32
100,3,114,4,0.77
939,5,1061,3,17.22
103,1,116,4,2.2
110,5,117,5,1.82
2130,4,2300,5,17.91
506,2,536,4,9.46
2670,5,2804,2,21.34
1169,3,1286,3,9.66
1150,3,1265,3,21
1301,2,1457,4,10.94
55477,2,59360,5,427.4
910,1,983,2,16.84
1691,5,1928,2,13.46
1660,5,1843,5,12.65
420,4,441,5,3.22
1395,3,1423,2,12.27
867,2,893,4,7.13
1476,1,1683,4,25.6
798,2,918,1,6.96
1220,5,1318,4,10.2
3360,5,3461,1,23.74
790,5,861,2,6.13
1466,5,1627,2,11.05
2290,5,2542,4,17.17
650,1,709,4,4.85
2210,1,2453,4,40.53
3063,2,3339,3,23.08
181,4,203,5,3.09
392,5,451,2,3.03
2800,4,2940,5,21.55
390,1,425,5,2.83
1790,5,1951,2,13.93
1900,5,2109,3,16.44
100,1,104,5,3.22
1818,2,2018,4,33.66
271,3,282,2,4.58
2070,2,2360,3,17.2
4370,2,4938,1,33.37
110,1,123,3,2.74
614,3,663,5,4.93
3070,2,3224,3,22.44
607,5,656,2,4.98
577,4,652,4,4.8
2854,3,3254,4,23.88
570,1,633,4,4.63
1648,3,1780,4,11.47
593,1,599,1,4.6
1371,1,1494,5,10.81
984,4,1132,5,7.03
626,3,651,5,5.1
1254,2,1292,2,10.22
296,4,337,5,2.24
747,4,754,2,6.32
740,4,784,1,6.01
535,5,615,1,4.34
731,3,804,3,6.51
100,5,115,5,0.62
398,2,446,4,2.98
57311,3,65908,4,1052.23
1471,4,1633,2,12.29
1162,2,1313,4,8.85
110,1,118,1,1.18
502,2,537,2,8.89
4943,4,5586,4,86.35
100,3,113,2,1.75
2347,3,2464,1,18.67
540,1,572,2,9.73
727,4,800,4,13.59
3379,1,3548,3,23.87
2052,2,2175,4,16.29
664,4,750,2,12.04
108,1,121,3,1.22
952,2,1095,4,8.1
2470,1,2692,1,17.5
409,4,450,3,3.25
732,4,820,3,5.36
477,4,491,2,3.7
239,3,253,1,1.99
298,3,310,2,2.6
300,4,321,2,2.47
227,4,252,5,2.02
341,5,385,4,2.72
199,3,219,3,1.84
1940,3,2173,2,33.67
1390,2,1487,1,11.84
1774,1,2022,3,13.56
1930,1,1988,1,15.37
2207,5,2494,2,16.66
2606,3,2841,1,47.19
1250,1,1325,5,10.4
1745,5,1954,4,31.75
1721,1,1841,2,12.73
1810,1,1937,5,15.26
2083,5,2187,2,17.09
980,3,1117,5,8.59
1167,2,1179,1,20.59
1466,2,1525,3,28
1133,5,1269,1,9.46
745,2,752,4,13.21
3040,5,3162,1,24.33
160,2,181,4,1.28
3124,1,3311,4,22.07
1776,2,1936,1,33.24
106,1,114,4,2.89
1456,5,1572,3,11.97
646,2,691,2,12.12
104,2,114,4,2.56
4070,2,4436,5,32.75
240,4,259,3,1.71
4503,4,4638,4,34.07
2210,4,2431,1,19.95
493,1,537,5,3.57
