@RELATION RegData_RAM

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE RAMUsage numeric

@DATA
110,2,123,3,1.3
26276,3,28904,1,5.3
72691,2,74872,2,6.7
33007,1,33667,1,5.3
1096,1,1228,5,5.3
867,2,962,5,4
997,4,1037,3,5.3
536,4,600,4,4
829,4,945,1,4
627,2,658,2,4
68107,2,69469,1,6.7
586,1,627,4,4
890,5,970,1,4
483,1,507,4,4
1080,4,1210,3,5.3
340,3,354,4,2.7
1960,5,2019,4,5.3
610,5,671,2,4
100,5,104,5,1.3
1160,5,1276,2,5.3
1860,1,1934,1,5.3
440,3,453,1,4
180,1,196,1,2.7
750,4,788,2,4
440,5,493,5,4
1330,1,1516,4,5.3
1892,4,2157,2,5.3
102,2,107,2,1.3
4100,3,4551,1,5.3
100,5,114,3,1.3
1120,3,1266,2,5.3
1747,3,1764,3,5.3
1520,4,1535,5,5.3
100,3,114,4,1.3
939,5,1061,3,5.3
103,1,116,4,1.3
110,5,117,5,1.3
2130,4,2300,5,5.3
506,2,536,4,4
2670,5,2804,2,5.3
1169,3,1286,3,5.3
1150,3,1265,3,5.3
1301,2,1457,4,5.3
55477,2,59360,5,5.3
910,1,983,2,5.3
1691,5,1928,2,5.3
1660,5,1843,5,5.3
420,4,441,5,4
1395,3,1423,2,5.3
867,2,893,4,4
1476,1,1683,4,5.3
798,2,918,1,4
1220,5,1318,4,5.3
3360,5,3461,1,5.3
790,5,861,2,4
1466,5,1627,2,5.3
2290,5,2542,4,5.3
650,1,709,4,4
2210,1,2453,4,5.3
3063,2,3339,3,5.3
181,4,203,5,2.7
392,5,451,2,4
2800,4,2940,5,5.3
390,1,425,5,4
1790,5,1951,2,5.3
1900,5,2109,3,5.3
100,1,104,5,1.3
1818,2,2018,4,5.3
271,3,282,2,2.7
2070,2,2360,3,5.3
4370,2,4938,1,5.3
110,1,123,3,1.3
614,3,663,5,4
3070,2,3224,3,5.3
607,5,656,2,4
577,4,652,4,4
2854,3,3254,4,5.3
570,1,633,4,4
1648,3,1780,4,5.3
593,1,599,1,4
1371,1,1494,5,5.3
984,4,1132,5,5.3
626,3,651,5,4
1254,2,1292,2,5.3
296,4,337,5,2.7
747,4,754,2,4
740,4,784,1,4
535,5,615,1,4
731,3,804,3,4
100,5,115,5,1.3
398,2,446,4,4
57311,3,65908,4,5.3
1471,4,1633,2,5.3
1162,2,1313,4,5.3
110,1,118,1,1.3
502,2,537,2,4
4943,4,5586,4,5.3
100,3,113,2,1.3
2347,3,2464,1,5.3
540,1,572,2,4
727,4,800,4,4
3379,1,3548,3,5.3
2052,2,2175,4,5.3
664,4,750,2,4
108,1,121,3,1.3
952,2,1095,4,5.3
2470,1,2692,1,5.3
409,4,450,3,4
732,4,820,3,4
477,4,491,2,4
239,3,253,1,2.7
298,3,310,2,2.7
300,4,321,2,2.7
227,4,252,5,2.7
341,5,385,4,2.7
199,3,219,3,2.7
1940,3,2173,2,5.3
1390,2,1487,1,5.3
1774,1,2022,3,5.3
1930,1,1988,1,5.3
2207,5,2494,2,5.3
2606,3,2841,1,5.3
1250,1,1325,5,5.3
1745,5,1954,4,5.3
1721,1,1841,2,5.3
1810,1,1937,5,5.3
2083,5,2187,2,5.3
980,3,1117,5,5.3
1167,2,1179,1,5.3
1466,2,1525,3,5.3
1133,5,1269,1,5.3
745,2,752,4,4
3040,5,3162,1,5.3
160,2,181,4,2.7
3124,1,3311,4,5.3
1776,2,1936,1,5.3
106,1,114,4,1.3
1456,5,1572,3,5.3
646,2,691,2,4
104,2,114,4,1.3
4070,2,4436,5,5.3
240,4,259,3,2.7
4503,4,4638,4,5.3
2210,4,2431,1,5.3
493,1,537,5,4
3189,2,3317,4,5.3
990,1,1030,5,5.3
1360,5,1387,3,5.3
100,3,107,3,1.3
3134,2,3353,4,5.3
318,3,356,3,2.7
345,1,362,5,2.7
114,1,116,5,2.7
304,3,313,5,2.7
101,1,104,5,1.3
315,5,337,3,2.7
243,5,270,3,2.7
100,5,114,2,1.3
386,4,428,4,4
2830,1,2858,4,5.3
344,4,365,2,2.7
130,4,138,5,2.7
100,3,106,3,1.3
102,1,109,3,1.3
250,2,283,5,2.7
274,1,304,4,2.7
103,1,105,1,1.3
495,4,554,2,4
100,5,105,2,1.3
290,3,307,4,2.7
1120,2,1277,2,5.3
631,1,707,4,4
100,3,102,3,1.3
416,4,458,1,4
104,4,110,5,1.3
4076,1,4239,5,5.3
100,4,111,3,1.3
291,3,320,4,2.7
218,3,227,5,2.7
255,5,275,1,2.7
314,5,345,4,2.7
710,1,731,5,4
386,3,421,3,4
3438,1,3644,4,5.3
659,4,758,4,4
1310,4,1428,5,5.3
2531,1,2911,1,5.3
1070,5,1177,4,5.3
2310,4,2518,4,5.3
1340,3,1407,5,5.3
1250,3,1275,2,5.3
1394,1,1603,5,5.3
870,4,931,1,4
1910,2,2120,5,5.3
730,3,832,5,4
1364,5,1555,4,5.3
1372,1,1482,3,5.3
333,2,353,4,2.7
899,2,980,3,4
1440,5,1555,4,5.3
630,3,662,4,4
1807,3,2078,4,5.3
100,4,104,5,1.3
1322,1,1428,2,5.3
2400,2,2448,5,5.3
590,4,602,4,4
2823,5,3021,2,5.3
2711,2,2901,3,5.3
2490,3,2689,4,5.3
